BELLAVISTA	BELLAVISTA	RAMIRO PRIALE	3044500	0	0722 NUEVO AMANECER	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	SANTA ELENA	3045556	0	0086	A2 - Inicial - Jardín
BELLAVISTA	BAJO BIAVO	EL PORVENIR	3059755	0	0781	A2 - Inicial - Jardín
BELLAVISTA	ALTO BIAVO	LA ESPERANZA DEL TIOYACU	3833927	0	ANGELITOS DEL CIELO	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BAJO BIAVO	LA UNION / NUEVA UNION	3833939	0	LA CASITA DEL SABER	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BAJO BIAVO	PUERTO NUEVO	3833953	0	LOS TRIUNFADORES	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	DOS UNIDOS	3835701	0	CARITAS ALEGRES	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN RAFAEL	SANTA CATALINA	3835719	0	LOS LORITOS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	SANTA VICTORIA	3835726	0	RAYITOS DE SOL	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	NUEVA FLORES	3835727	0	GOTITAS DE AMOR	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	RUEGA A DIOS	3880357	0	DIVINO NIÑO	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	BARRANCA	3897470	0	CRECIENDO CON AMOR	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BAJO BIAVO	SANTA ELENA	3930652	0	GOTITAS DEL SABER	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	FAUSA LAMISTA	3941369	0	MI DULCE HOGAR	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	NANVALLE	3946297	0	DULCE AMANECER	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	PUEBLO LIBRE / ISRAEL URIARTE	3961898	0	DULCE ABRAZOS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	EL CARIBE	3975147	0	CORAZON DE JESUS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	SAN PABLO	SAN IGNACIO	3975148	0	PEQUEÑOS GENIOS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	BARRIO MEXICO	3976696	0	MANITAS CREATIVAS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	JOSE OLAYA	3981609	0	BURBUJITAS DE COLORES	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BELLAVISTA	NUEVO CHOTA	3982440	0	TIERNOS ANGELITOS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	SOL ANDINO	3983960	0	PEQUEÑOS SOÑADORES	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BAJO BIAVO	DOS UNIDOS	3985061	0	MI PEQUEÑO UNIVERSO	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	LA LIBERTAD	3990716	0	RAYITOS DE LUZ	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	NUEVO CAÑARIS	3990717	0	DOS CORAZONES	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	EL OSO	4004995	0	OSITOS QUE DEJAN HUELLAS	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BELLAVISTA	VISTA ALEGRE	4006096	0	SEMILLITAS DEL SABER	A5 - Inicial  Prog No Escolariz
BELLAVISTA	ALTO BIAVO	ROMERILLAL	4012553	0	ARCOIRIS DEL SABER	A5 - Inicial  Prog No Escolariz
BELLAVISTA	BAJO BIAVO	NUEVO LIMA	0298760	0	0084 ANDRES AVELINO CACERES DORREGARAY	B0 - Primaria
BELLAVISTA	BAJO BIAVO	LA UNION	0298778	0	0085	B0 - Primaria
BELLAVISTA	BAJO BIAVO	SANTA ELENA	0298786	0	0086	B0 - Primaria
BELLAVISTA	BAJO BIAVO	SAN RAMON	0299206	0	0141	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVO MUNDO	0299214	0	0142	B0 - Primaria
BELLAVISTA	BAJO BIAVO	PAMPA HERMOSA	0299222	0	0143	B0 - Primaria
BELLAVISTA	BAJO BIAVO	DOS UNIDOS	0299230	0	AGROPECUARIO DOS UNIDOS	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVO TARAPOTO	0299420	0	0577	B0 - Primaria
BELLAVISTA	BAJO BIAVO	DOS DE MAYO	0299537	0	0605	B0 - Primaria
BELLAVISTA	SAN RAFAEL	PALESTINA	0299545	0	0617 NATIVIDAD BARRERA ARELLANO	B0 - Primaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	0300137	0	0180 SEÑOR DE LOS MILAGROS	B0 - Primaria
HUALLAGA	TINGO DE SAPOSOA	TINGO DE SAPOSOA	0300178	0	0184 OSCAR PANDURO DAVILA	B0 - Primaria
BELLAVISTA	SAN RAFAEL	SAN RAFAEL	0300194	0	0188 DANIEL ALCIDES CARRION	B0 - Primaria
BELLAVISTA	SAN RAFAEL	SAN JOSE	0300228	0	0005 SAN JOSE OBRERO	B0 - Primaria
BELLAVISTA	SAN RAFAEL	LA LIBERTAD	0300236	0	0190 CESAR VALLEJO MENDOZA	B0 - Primaria
BELLAVISTA	BELLAVISTA	PERUATE	0300277	0	0194 TEODOCIA NAVARRO VEGA	B0 - Primaria
BELLAVISTA	BELLAVISTA	LIMON	0300301	0	0198 MARIA EDITH VILLACORTA PINEDO	B0 - Primaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	0300319	0	0199 SANTA ROSA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	BARRANCA	0300335	0	0201 VIRGITA ALVARADO CARDENAS	B0 - Primaria
BELLAVISTA	SAN PABLO	CONSUELO	0300343	0	0202	B0 - Primaria
BELLAVISTA	BELLAVISTA	LAS MERCEDES	0300350	0	0205 ELVIRA RUIZ DAVILA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	CUZCO	0300368	0	0206 ISAAC NEWTON	B0 - Primaria
BELLAVISTA	ALTO BIAVO	JOSE OLAYA	0300376	0	0207 FERNANDO BELAUNDE TERRY	B0 - Primaria
BELLAVISTA	BELLAVISTA	BELLAVISTA	0300533	0	0208 SANTIAGO ANTUNEZ DE MAYOLO	B0 - Primaria
EL DORADO	SANTA ROSA	SANTA ELENA	0301788	0	0376 MARIANO MELGAR Y VALDIVIESO	B0 - Primaria
BELLAVISTA	BELLAVISTA	HUACHO	0303156	0	0215 VALENTIN PANIAGUA CORAZAO	B0 - Primaria
BELLAVISTA	BELLAVISTA	NUEVA FLORIDA	0303222	0	0224	B0 - Primaria
BELLAVISTA	SAN RAFAEL	NUEVO CHIMBOTE	0303230	0	0225 MERVIN TANANTA GARCIA	B0 - Primaria
BELLAVISTA	SAN RAFAEL	PANAMA	0303248	0	0226 JUAN DANIEL DEL AGUILA VELASQUEZ	B0 - Primaria
